[2025-09-07 16:31:08] [INFO    ] discord.client: logging in using static token
[2025-09-07 16:31:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'OLIT', 'primary_guild': None, 'mfa_enabled': True, 'id': '1414168461172539454', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0936', 'clan': None, 'bot': True, 'avatar': 'd36b0a1e581c976708d316ae42d5b908'}, 'session_type': 'normal', 'session_id': '66df7ad03da6a27edf528d0b3975ef33', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1210475350119813120'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['india', 'dubai', 'singapore', 'saudi-arabia', 'hongkong'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1414168461172539454', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-1fj6",{"micros":148318,"calls":["id_created",{"micros":369,"calls":[]},"session_lookup_time",{"micros":497,"calls":[]},"session_lookup_finished",{"micros":14,"calls":[]},"discord-sessions-prd-2-139",{"micros":147047,"calls":["start_session",{"micros":139452,"calls":["discord-api-rpc-5c86ccbdf-9btjm",{"micros":81437,"calls":["get_user",{"micros":12708},"get_guilds",{"micros":3640},"send_scheduled_deletion_message",{"micros":15},"guild_join_requests",{"micros":5260},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":20697},"apex_experiments",{"micros":7030},"user_activities",{"micros":4},"played_application_ids",{"micros":2}]}]},"starting_guild_connect",{"micros":31,"calls":[]},"presence_started",{"micros":7098,"calls":[]},"guilds_started",{"micros":93,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":2,"calls":[]},"presence_connect",{"micros":350,"calls":[]},"connect_finished",{"micros":353,"calls":[]},"build_ready",{"micros":17,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-09-07 16:31:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 16:31:11] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 66df7ad03da6a27edf528d0b3975ef33).
[2025-09-07 16:31:11] [DEBUG   ] discord.client: Dispatching event connect
[2025-09-07 16:31:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'application_command_counts': {}, 'soundboard_sounds': [], 'guild_scheduled_events': [], 'large': False, 'system_channel_id': '1210475350765604876', 'premium_features': None, 'max_members': 25000000, 'afk_timeout': 300, 'default_message_notifications': 1, 'channels': [{'version': 1708670213170, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '1210475350765604874', 'flags': 0}, {'version': 1708670213176, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '1210475350765604875', 'flags': 0}, {'version': 1708670213185, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '1210475350765604874', 'name': 'general', 'last_message_id': '1414203732027248722', 'id': '1210475350765604876', 'icon_emoji': {'name': '👋', 'id': None}, 'flags': 0}, {'version': 1708670367431, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1210475350119813120', 'deny': '512', 'allow': '2097152'}], 'parent_id': '1210475350765604875', 'name': 'music', 'last_message_id': None, 'id': '1210475350765604878', 'icon_emoji': {'name': '🎙️', 'id': None}, 'flags': 0, 'bitrate': 64000}, {'version': 1713684313620, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '1210475350765604874', 'name': 'ping', 'last_message_id': '1414200032214908958', 'id': '1231506012339572796', 'flags': 0}, {'version': 1713684414806, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1210475350119813120', 'deny': '2048', 'allow': '0'}], 'name': 'rules', 'last_message_id': None, 'id': '1231506436719251526', 'flags': 0}, {'version': 1713684414821, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1210475350119813120', 'deny': '1024', 'allow': '0'}], 'name': 'moderator-only', 'last_message_id': '1250391562081276004', 'id': '1231506436719251527', 'flags': 0}, {'version': 1713685074182, 'type': 5, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [{'type': 0, 'id': '1210475350119813120', 'deny': '2048', 'allow': '0'}], 'parent_id': '1210475350765604874', 'name': 'announcement', 'last_message_id': None, 'id': '1231509202342641705', 'flags': 0}], 'profile': None, 'features': ['COMMUNITY', 'NEWS', 'SOUNDBOARD', 'AUTO_MODERATION'], 'vanity_url_code': None, 'premium_subscription_count': 0, 'splash': None, 'lazy': True, 'id': '1210475350119813120', 'verification_level': 1, 'rules_channel_id': '1231506436719251526', 'members': [{'user': {'username': 'OLIT', 'public_flags': 0, 'primary_guild': None, 'id': '1414168461172539454', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0936', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd36b0a1e581c976708d316ae42d5b908'}, 'roles': ['1231507523287384115', '1414172832950128652'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-07T08:57:57.565000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'member_count': 6, 'hub_type': None, 'name': 'Server', 'region': 'deprecated', 'moderator_reporting': None, 'discovery_splash': None, 'explicit_content_filter': 2, 'embedded_activities': [], 'latest_onboarding_question_id': None, 'activity_instances': [], 'threads': [], 'owner_id': '814791086114865233', 'mfa_level': 0, 'max_stage_video_channel_users': 50, 'banner': None, 'home_header': None, 'public_updates_channel_id': '1231506436719251527', 'description': '', 'stage_instances': [], 'emojis': [{'version': 1757239266554, 'roles': [], 'require_colons': True, 'name': 'bceq_approved', 'managed': False, 'id': '1414188725163790336', 'available': True, 'animated': False}, {'version': 1757240196990, 'roles': [], 'require_colons': True, 'name': 'sheriff_approved', 'managed': False, 'id': '1414192628010061824', 'available': True, 'animated': False}, {'version': 1757240197587, 'roles': [], 'require_colons': True, 'name': 'baa_approved', 'managed': False, 'id': '1414192630165667872', 'available': True, 'animated': False}], 'icon': None, 'nsfw_level': 0, 'inventory_settings': None, 'system_channel_flags': 0, 'premium_tier': 0, 'voice_states': [], 'presences': [], 'nsfw': False, 'application_id': None, 'incidents_data': None, 'preferred_locale': 'en-US', 'joined_at': '2025-09-07T08:57:57.565000+00:00', 'stickers': [], 'unavailable': False, 'version': 1757237344315, 'roles': [{'version': 1757238130790, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '274877975552', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1210475350119813120', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1757238130340, 'unicode_emoji': None, 'tags': {}, 'position': 4, 'permissions': '981863615168505', 'name': 'Thakur Sahab', 'mentionable': True, 'managed': False, 'id': '1231506758279893082', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 11027200}, 'color': 11027200}, {'version': 1757238130342, 'unicode_emoji': None, 'tags': {}, 'position': 5, 'permissions': '2108863302074367', 'name': 'Owner', 'mentionable': True, 'managed': False, 'id': '1231507523287384115', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 16711680}, 'color': 16711680}, {'version': 1757238130337, 'unicode_emoji': None, 'tags': {}, 'position': 3, 'permissions': '1460716292800776', 'name': 'Bread omelette', 'mentionable': True, 'managed': False, 'id': '1286949934096060489', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15844367}, 'color': 15844367}, {'version': 1757238130335, 'unicode_emoji': None, 'tags': {}, 'position': 2, 'permissions': '1434329897501881', 'name': 'Meme God', 'mentionable': True, 'managed': False, 'id': '1389944806448431155', 'icon': None, 'hoist': True, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 15277667}, 'color': 15277667}, {'version': 1757235508232, 'unicode_emoji': None, 'tags': {'bot_id': '1414168461172539454'}, 'position': 1, 'permissions': '2815213892398144', 'name': 'OLIT', 'mentionable': False, 'managed': True, 'id': '1414172832950128652', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'owner_configured_content_level': 0, 'premium_progress_bar_enabled': True, 'safety_alerts_channel_id': None, 'max_video_channel_users': 25, 'afk_channel_id': None}}
[2025-09-07 16:31:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 16:31:11] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '1c6bb74d2c8ddcdcebc5ab2b1677f96d', 'members': [{'user': {'username': 'Dank Memer', 'public_flags': 589824, 'primary_guild': None, 'id': '270904126974590976', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '5192', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'a_24778db4737114253ac3b30f45f1979f'}, 'roles': ['1389944806448431155'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-22T13:13:26.716000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'velo4705', 'public_flags': 4194368, 'primary_guild': {'tag': 'BLOS', 'identity_guild_id': '766373302721445888', 'identity_enabled': True, 'badge': '878c62b6694a4f5931104f766191bec7'}, 'id': '709337462937485393', 'global_name': 'imloafy', 'display_name_styles': None, 'display_name': 'imloafy', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': {'sku_id': '1409657271184785490', 'expires_at': 1762214400, 'asset': 'a_15c9e03bc086462fe069d103ed8265cd'}, 'avatar': '8f31c931a43142447f00009773eec6eb'}, 'roles': ['1286949934096060489'], 'premium_since': None, 'pending': False, 'nick': 'Soaking Bread', 'mute': False, 'joined_at': '2024-09-21T07:16:20.762000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'vinayak4564', 'public_flags': 64, 'primary_guild': {'tag': 'KSA', 'identity_guild_id': '1260011486735241329', 'identity_enabled': True, 'badge': 'fd9a0c01e10d280af3f5662c009a3eca'}, 'id': '814791086114865233', 'global_name': 'Vinayak', 'display_name_styles': None, 'display_name': 'Vinayak', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1349849614198505602', 'palette': 'cobalt', 'label': 'COLLECTIBLES_NAMEPLATES_TWILIGHT_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates/twilight/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1232071712695386162', 'expires_at': None, 'asset': 'a_8552f9857793aed0cf816f370e2df3be'}, 'avatar': '44006e18bd6de0ab7bc3fc8c96c66379'}, 'roles': ['1231507523287384115'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-23T06:36:53.030000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'superheavybooster', 'public_flags': 0, 'primary_guild': {'tag': 'RGV', 'identity_guild_id': '732509550606942268', 'identity_enabled': True, 'badge': '2d9908aeb26b0c8d246dbd97f8258a72'}, 'id': '1085236492571529287', 'global_name': 'Booster 16', 'display_name_styles': None, 'display_name': 'Booster 16', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '365e31f1911190da5cf72dd5c2d0b261'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-07T10:18:09.574515+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': '.earthandmoon.', 'public_flags': 0, 'primary_guild': {'tag': None, 'identity_guild_id': None, 'identity_enabled': False, 'badge': None}, 'id': '1187981682280775733', 'global_name': '-Earth and Moon-', 'display_name_styles': None, 'display_name': '-Earth and Moon-', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '394d5a85055898f1d578e4b6825f46a8'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-07T09:35:39.840756+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'OLIT', 'public_flags': 0, 'primary_guild': None, 'id': '1414168461172539454', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0936', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd36b0a1e581c976708d316ae42d5b908'}, 'roles': ['1231507523287384115', '1414172832950128652'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-07T08:57:57.565000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1210475350119813120', 'chunk_index': 0, 'chunk_count': 1}}
[2025-09-07 16:31:11] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 16:31:11] [DEBUG   ] discord.state: Processed a chunk for 6 members in guild ID 1210475350119813120.
[2025-09-07 16:31:13] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-09-07 16:31:13] [DEBUG   ] discord.client: Dispatching event ready
[2025-09-07 16:31:19] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '814791086114865233', 'timestamp': 1757242880, 'member': {'user': {'username': 'vinayak4564', 'public_flags': 64, 'primary_guild': {'tag': 'KSA', 'identity_guild_id': '1260011486735241329', 'identity_enabled': True, 'badge': 'fd9a0c01e10d280af3f5662c009a3eca'}, 'id': '814791086114865233', 'global_name': 'Vinayak', 'display_name_styles': None, 'display_name': 'Vinayak', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1349849614198505602', 'palette': 'cobalt', 'label': 'COLLECTIBLES_NAMEPLATES_TWILIGHT_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates/twilight/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1232071712695386162', 'expires_at': None, 'asset': 'a_8552f9857793aed0cf816f370e2df3be'}, 'avatar': '44006e18bd6de0ab7bc3fc8c96c66379'}, 'roles': ['1231507523287384115'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-23T06:36:53.030000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1210475350765604876', 'guild_id': '1210475350119813120'}}
[2025-09-07 16:31:19] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 16:31:19] [DEBUG   ] discord.client: Dispatching event typing
[2025-09-07 16:31:19] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-09-07 16:31:26] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-09-07T11:01:27.257000+00:00', 'pinned': False, 'nonce': '1414203906895904768', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1231507523287384115'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2024-02-23T06:36:53.030000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1414203911992246282', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'appbcbash', 'components': [], 'channel_type': 0, 'channel_id': '1210475350765604876', 'author': {'username': 'vinayak4564', 'public_flags': 64, 'primary_guild': {'tag': 'KSA', 'identity_guild_id': '1260011486735241329', 'identity_enabled': True, 'badge': 'fd9a0c01e10d280af3f5662c009a3eca'}, 'id': '814791086114865233', 'global_name': 'Vinayak', 'display_name_styles': None, 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1349849614198505602', 'palette': 'cobalt', 'label': 'COLLECTIBLES_NAMEPLATES_TWILIGHT_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplates/twilight/'}}, 'clan': {'tag': 'KSA', 'identity_guild_id': '1260011486735241329', 'identity_enabled': True, 'badge': 'fd9a0c01e10d280af3f5662c009a3eca'}, 'avatar_decoration_data': {'sku_id': '1232071712695386162', 'expires_at': None, 'asset': 'a_8552f9857793aed0cf816f370e2df3be'}, 'avatar': '44006e18bd6de0ab7bc3fc8c96c66379'}, 'attachments': [], 'guild_id': '1210475350119813120'}}
[2025-09-07 16:31:26] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 16:31:26] [DEBUG   ] discord.client: Dispatching event message
[2025-09-07 16:31:27] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 6, 'op': 0, 'd': {'user_id': '1414168461172539454', 'type': 0, 'message_id': '1414203911992246282', 'message_author_id': '814791086114865233', 'member': {'user': {'username': 'OLIT', 'public_flags': 0, 'primary_guild': None, 'id': '1414168461172539454', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0936', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd36b0a1e581c976708d316ae42d5b908'}, 'roles': ['1231507523287384115', '1414172832950128652'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-07T08:57:57.565000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': 'bceq_approved', 'id': '1414188725163790336'}, 'channel_id': '1210475350765604876', 'burst': False, 'guild_id': '1210475350119813120'}}
[2025-09-07 16:31:27] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 16:31:27] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-09-07 16:31:27] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-09-07 16:31:27] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1210475350765604876/messages/1414203911992246282/reactions/bceq_approved%3A1414188725163790336/@me with None has returned 204
[2025-09-07 16:31:27] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2025-09-07 16:31:27] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-09-07 16:31:27] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1210475350765604876/messages/1414203911992246282/reactions/bceq_approved%3A1414188725163790336/@me has received 
[2025-09-07 16:31:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 7, 'op': 0, 'd': {'user_id': '1414168461172539454', 'type': 0, 'message_id': '1414203911992246282', 'message_author_id': '814791086114865233', 'member': {'user': {'username': 'OLIT', 'public_flags': 0, 'primary_guild': None, 'id': '1414168461172539454', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0936', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd36b0a1e581c976708d316ae42d5b908'}, 'roles': ['1231507523287384115', '1414172832950128652'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-07T08:57:57.565000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': 'baa_approved', 'id': '1414192630165667872'}, 'channel_id': '1210475350765604876', 'burst': False, 'guild_id': '1210475350119813120'}}
[2025-09-07 16:31:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 16:31:28] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-09-07 16:31:28] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-09-07 16:31:28] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1210475350765604876/messages/1414203911992246282/reactions/baa_approved%3A1414192630165667872/@me with None has returned 204
[2025-09-07 16:31:28] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-09-07 16:31:28] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1210475350765604876/messages/1414203911992246282/reactions/baa_approved%3A1414192630165667872/@me has received 
[2025-09-07 16:31:29] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 8, 'op': 0, 'd': {'user_id': '1414168461172539454', 'type': 0, 'message_id': '1414203911992246282', 'message_author_id': '814791086114865233', 'member': {'user': {'username': 'OLIT', 'public_flags': 0, 'primary_guild': None, 'id': '1414168461172539454', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0936', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'd36b0a1e581c976708d316ae42d5b908'}, 'roles': ['1231507523287384115', '1414172832950128652'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-09-07T08:57:57.565000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': 'sheriff_approved', 'id': '1414192628010061824'}, 'channel_id': '1210475350765604876', 'burst': False, 'guild_id': '1210475350119813120'}}
[2025-09-07 16:31:29] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-09-07 16:31:29] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2025-09-07 16:31:29] [DEBUG   ] discord.client: Dispatching event reaction_add
[2025-09-07 16:31:29] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1210475350765604876/messages/1414203911992246282/reactions/sheriff_approved%3A1414192628010061824/@me with None has returned 204
[2025-09-07 16:31:29] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2025-09-07 16:31:29] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1210475350765604876/messages/1414203911992246282/reactions/sheriff_approved%3A1414192628010061824/@me has received 
